File,Precision,Recall,F1 Score,Translation Length,Reference Length
115_Die_klare_Sonne_bringts_an_den_en(1).txt,[0.8963412046432495],[0.8851678371429443],[0.890719473361969],504,547
111_Der_gelernte_J_ger_en.txt,[0.9006714820861816],[0.8869519829750061],[0.8937591314315796],2075,2131
20_Das_tapfere_Schneiderlein_en.txt,[0.8211290240287781],[0.816384494304657],[0.8187498450279236],2632,543
131_Die_sch_ne_Katrinelje_und_Pif__en(1).txt,[0.7856240272521973],[0.8084288239479065],[0.796863317489624],1388,388
1_Der_Froschk_nig_oder_der_eiser_en(1).txt,[0.8197330832481384],[0.8179166316986084],[0.8188238143920898],1396,1994
139_Dat_M_ken_von_Brakel_en.txt,[0.8930599093437195],[0.8901015520095825],[0.8915783166885376],152,135
87_Der_Arme_und_der_Reiche_en(1).txt,[0.8994944095611572],[0.8875135183334351],[0.8934637904167175],1527,1560
17_Die_wei_e_Schlange_en.txt,[0.8596742153167725],[0.8513405323028564],[0.855487048625946],1528,1020
22_Das_Räthsel_en.txt,[0.8098964095115662],[0.823036253452301],[0.8164134621620178],1057,141
32_Der_gescheidte_Hans_en(1).txt,[0.8924557566642761],[0.888145923614502],[0.8902956247329712],858,2305
158_Das_M_rchen_vom_Schlauraffenla_en.txt,[0.914559543132782],[0.8860076069831848],[0.9000571966171265],309,336
114_Vom_klugen_Schneiderlein_en.txt,[0.8839218020439148],[0.878494918346405],[0.8811999559402466],1127,1229
24_Frau_Holle_en(1).txt,[0.8847799301147461],[0.8752045035362244],[0.879966139793396],1080,577
125_Der_Teufel_und_seine_Gro_mutte_en(1).txt,[0.8930599689483643],[0.8919132947921753],[0.8924862146377563],1148,1128
150_Die_alte_Bettelfrau_en(1).txt,[0.910628080368042],[0.8912141919136047],[0.9008166193962097],183,159
201_heavenly_wedding_en(1).txt,[0.9121864438056946],[0.9026199579238892],[0.9073779582977295],467,543
21_Aschenbuttel_en(1).txt,[0.8714110255241394],[0.8649670481681824],[0.868177056312561],1772,3110
11_Br_derchen_und_Schwesterchen_en(1).txt,[0.8189817070960999],[0.8169728517532349],[0.8179759979248047],2321,2131
133_Die_zertanzten_Schuhe_en.txt,[0.9052127003669739],[0.89518141746521],[0.9001691937446594],1582,1463
90_Der_junge_Riese_en(1).txt,[0.8838270306587219],[0.8655474185943604],[0.8745917677879333],2666,3166
137_De_drei_schwatten_Princessinne_en.txt,[0.8991159200668335],[0.8911718130111694],[0.8951262831687927],704,695
57_Der_goldene_Vogel_en(1).txt,[0.8909695148468018],[0.8785287141799927],[0.8847054243087769],2835,2539
15_H_nsel_und_Grethel_en.txt,[0.8899158835411072],[0.8838005065917969],[0.8868476152420044],2651,2172
131_Die_schöne_Katrinelje_und_Pif__en.txt,[0.865149736404419],[0.8560794591903687],[0.8605907559394836],352,388
40_Der_R_uberbr_utigam_en(1).txt,[0.8400259613990784],[0.8307650685310364],[0.835369884967804],1369,849
88_Das_singende_springende_L_wene_en(1).txt,[0.9018009901046753],[0.8960279226303101],[0.8989052176475525],1708,2365
116_Das_blaue_Licht_en(1).txt,[0.8733905553817749],[0.8655197024345398],[0.8694373369216919],1639,1300
149_Der_Hahnenbalken_en(1).txt,[0.9144346117973328],[0.8920977115631104],[0.9031280279159546],284,303
12_Rapunzel_en.txt,[0.8263335227966309],[0.8178653120994568],[0.8220775723457336],1257,916
128_Die_faule_Spinnerin_en(1).txt,[0.9052366018295288],[0.903312087059021],[0.9042733311653137],700,769
145_Der_undankbare_Sohn_en(1).txt,[0.92198246717453],[0.9068336486816406],[0.9143452644348145],158,164
"18_Strohhalm,_Kohle_und_Bohne_en(1).txt",[0.823277473449707],[0.8315305709838867],[0.8273834586143494],481,280
47_Von_dem_Machandelboom_en.txt,[0.8852189779281616],[0.8823663592338562],[0.8837904334068298],2472,3132
132_Der_Fuchs_und_das_Pferd_en(1).txt,[0.9040194153785706],[0.9023016095161438],[0.9031596779823303],551,486
200_Der_goldene_Schl_ssel_en(1).txt,[0.9182826280593872],[0.8967746496200562],[0.9074012041091919],169,174
91_Dat_Erdmänneken_en.txt,[0.8805109262466431],[0.8696208596229553],[0.8750319480895996],2026,1749
30_L_uschen_und_Fl_hchen_en.txt,[0.8871607780456543],[0.8790973424911499],[0.8831106424331665],448,449
147_Das_junggegl_hte_M_nnlein_en(1).txt,[0.8911969065666199],[0.8834196329116821],[0.8872912526130676],512,588
112_Der_Dreschflegel_vom_Himmel_en(1).txt,[0.9007862210273743],[0.8807913661003113],[0.8906765580177307],349,363
52_K_nig_Drosselbart_en(1).txt,[0.8725314140319824],[0.8625578284263611],[0.8675159215927124],1592,1119
44_Der_Gevatter_Tod_en(1).txt,[0.854019045829773],[0.8400513529777527],[0.8469776511192322],1311,588
99_Der_Geist_im_Glas_en(1).txt,[0.8703683614730835],[0.8668397665023804],[0.8686004877090454],2126,1321
148_Des_Herrn_und_des_Teufels_Geth_en(1).txt,[0.9058345556259155],[0.8928194046020508],[0.8992798924446106],378,369
46_Fitchers_Vogel_en(1).txt,[0.8594408631324768],[0.850588321685791],[0.8549916744232178],1324,917
28_Der_singende_Knochen_en.txt,[0.8632845878601074],[0.8581184148788452],[0.8606937527656555],742,550
93_Die_Rabe_en.txt,[0.9007095694541931],[0.8961664438247681],[0.8984323143959045],2247,2505
39_Die_Wichtelm_nner_en.txt,[0.8812803626060486],[0.8652305603027344],[0.8731817007064819],1328,868
103_Der_s__e_Brei_en(1).txt,[0.9146081805229187],[0.8994921445846558],[0.906987190246582],253,242
9_Die_zw_lf_Br_der_en(1).txt,[0.8260519504547119],[0.8226079940795898],[0.8243263363838196],1786,1380
140_Das_Hausgesinde_en(1).txt,[0.8566594123840332],[0.8485420942306519],[0.8525813817977905],194,182
48_Der_alte_Sultan_en(1).txt,[0.8916071653366089],[0.8863931894302368],[0.8889924883842468],833,739
127_Der_Eisenofen_en(1).txt,[0.8918553590774536],[0.8796490430831909],[0.8857101798057556],1804,2157
151_Die_drei_Faulen_en.txt,[0.8619917631149292],[0.887572169303894],[0.8745949864387512],1219,217
3_Marienkind_en.txt,[0.8102383017539978],[0.8039543032646179],[0.8070840239524841],1777,2755
108_Hans_mein_Jgel_en.txt,[0.9039068222045898],[0.9022833108901978],[0.9030943512916565],1596,2125
106_Der_arme_M_llerbursch_und_das__en(1).txt,[0.8892122507095337],[0.8808618187904358],[0.8850172758102417],1264,1145
97_Das_Wasser_des_Lebens_en(1).txt,[0.8922130465507507],[0.8755559325218201],[0.8838059902191162],1358,2291
56_Der_Liebste_Roland_en(1).txt,[0.8917117714881897],[0.8829828500747681],[0.8873258233070374],1407,1147
102_Der_Zaunk_nig_und_der_B_r_en(1).txt,[0.900632381439209],[0.8942319750785828],[0.8974207043647766],850,925
10_Das_Lumpengesindel_en(1).txt,[0.821330189704895],[0.8155245184898376],[0.8184170722961426],719,1299
69_Jorinde_und_Joringel_en.txt,[0.8800634741783142],[0.8855933547019958],[0.8828197717666626],876,1006
5_Der_Wolf_und_die_sieben_jungen_en(1).txt,[0.8305470943450928],[0.8224777579307556],[0.8264927268028259],995,942
89_Die_G_nsemagd_en.txt,[0.8978848457336426],[0.883191704750061],[0.8904776573181152],2008,2139
142_Simeliberg_en(1).txt,[0.9001482725143433],[0.8913358449935913],[0.895720362663269],873,840
117_Das_eigensinnige_Kind_en.txt,[0.9123674631118774],[0.888064980506897],[0.9000521898269653],115,136
100_Des_Teufels_ru_iger_Bruder_en.txt,[0.8928377032279968],[0.8863841891288757],[0.8895992040634155],1166,1299
78_Der_alte_Gro_vater_und_der_Enk_en.txt,[0.9163088798522949],[0.8948887586593628],[0.9054721593856812],248,268
109_Das_Todtenhemdchen_en(1).txt,[0.9160640835762024],[0.9069008827209473],[0.9114594459533691],246,226
14_Die_drei_Spinnerinnen_en(1).txt,[0.8234972953796387],[0.8137980103492737],[0.8186189532279968],870,1139
113_De_beiden_Künigeskinner_en.txt,[0.8725858330726624],[0.8596585988998413],[0.8660739064216614],2525,3189
134_Die_sechs_Diener_en(1).txt,[0.8706451654434204],[0.8637137413024902],[0.8671655654907227],2513,1994
19_Von_dem_Fischer_un_syner_Fru_en(1).txt,[0.9037743210792542],[0.8921894431114197],[0.8979445099830627],2806,2065
29_Der_Teufel_mit_den_drei_golden_en.txt,[0.8231635689735413],[0.8209749460220337],[0.8220677971839905],2749,2019
98_Doctor_Allwissend_en.txt,[0.8866182565689087],[0.8766888976097107],[0.8816256523132324],700,793
13_Die_drei_M_nnlein_im_Walde_en.txt,[0.8173728585243225],[0.8127325773239136],[0.8150461316108704],1968,1994
51_Fundevogel_en(1).txt,[0.898455023765564],[0.892492949962616],[0.8954641222953796],898,942
110_Der_Jude_im_Dorn_en.txt,[0.8523926734924316],[0.8471290469169617],[0.8497527241706848],1575,1196
124_Die_drei_Br_der_en.txt,[0.9152615666389465],[0.9081941246986389],[0.9117141366004944],650,663
