File,Precision,Recall,F1 Score,Translation Length,Reference Length
141_Das_L_mmchen_und_Fischchen.txt,[0.8212900757789612],[0.8328969478607178],[0.8270528316497803],543,650
"23_Von_dem_M_uschen,_V_gelchen_un.txt",[0.8350864052772522],[0.8409479856491089],[0.8380069136619568],519,686
51_Fundevogel.txt,[0.8214771747589111],[0.8465957641601562],[0.8338472843170166],815,942
124_Die_drei_Br_der.txt,[0.822433590888977],[0.8476617336273193],[0.8348571062088013],621,663
25_Die_sieben_Raben.txt,[0.8276776671409607],[0.8185535669326782],[0.8230903744697571],830,579
78_Der_alte_Gro_vater_und_der_Enk.txt,[0.8709285855293274],[0.8558186292648315],[0.8633074760437012],227,268
19_Von_dem_Fischer_un_syner_Fru.txt,[0.7934005856513977],[0.8094128370285034],[0.8013266921043396],3144,2065
49_Die_sechs_Schw_ne.txt,[0.846525251865387],[0.8419336676597595],[0.8442232608795166],1759,1263
47_Von_dem_Machandelboom.txt,[0.7487322688102722],[0.7808237671852112],[0.7644413113594055],2330,3132
89_Die_G_nsemagd.txt,[0.8511154055595398],[0.8587656617164612],[0.85492342710495],1731,2139
154_Der_gestohlene_Heller.txt,[0.862567126750946],[0.8618436455726624],[0.8622052669525146],319,349
87_Der_Arme_und_der_Reiche.txt,[0.8526100516319275],[0.848816454410553],[0.850709080696106],1375,1560
31_Das_M_dchen_ohne_H_nde.txt,[0.840582549571991],[0.8580300807952881],[0.8492166996002197],2037,1445
132_Der_Fuchs_und_das_Pferd.txt,[0.8102957010269165],[0.8443065881729126],[0.8269516229629517],362,486
32_Der_gescheidte_Hans.txt,[0.7955003976821899],[0.823016881942749],[0.8090246915817261],713,2305
13_Die_drei_M_nnlein_im_Walde.txt,[0.7799184918403625],[0.8020250201225281],[0.7908173203468323],1684,1994
10_Die_Haselruthe.txt,[0.7997686862945557],[0.787466287612915],[0.7935698628425598],170,1299
45_Daumerlings_Wanderschaft.txt,[0.7916209697723389],[0.8271976709365845],[0.8090183734893799],1366,1042
41_Herr_Korbes.txt,[0.8454116582870483],[0.8417467474937439],[0.8435752987861633],341,393
30_L_uschen_und_Fl_hchen.txt,[0.7655200362205505],[0.7809447646141052],[0.7731554508209229],509,449
52_K_nig_Drosselbart.txt,[0.8365616798400879],[0.8415125608444214],[0.839029848575592],1395,1119
"36_Tischchen_deck_dich,_Goldesel,.txt",[0.8382208347320557],[0.8364691138267517],[0.8373439908027649],2878,2755
48_Der_alte_Sultan.txt,[0.8423303961753845],[0.8402259945869446],[0.8412768840789795],769,739
55_Rumpelstilzchen.txt,[0.8357130289077759],[0.8473672866821289],[0.8414998054504395],613,575
15_Hansel_und_Grethel.txt,[0.8446376323699951],[0.8501861691474915],[0.8474028706550598],2519,2172
92_Der_K_nig_vom_goldenen_Berg.txt,[0.8510196805000305],[0.8535479307174683],[0.8522818684577942],2123,2330
139_Dat_M_ken_von_Brakel.txt,[0.8241590261459351],[0.7993032932281494],[0.8115409016609192],94,135
157_Der_Sperling_und_seine_vier_Ki.txt,[0.8043746948242188],[0.8475555181503296],[0.825400710105896],585,955
57_Der_goldene_Vogel.txt,[0.8356188535690308],[0.8450023531913757],[0.8402844667434692],2667,2539
1_Der_Froschk_nig_oder_der_eiser.txt,[0.8102421164512634],[0.8137156963348389],[0.8119751214981079],1005,1994
145_Der_undankbare_Sohn.txt,[0.8786559700965881],[0.8759006857872009],[0.8772761225700378],160,164
135_Die_wei_e_und_die_schwarze_Bra.txt,[0.8462812304496765],[0.8615565299987793],[0.8538505434989929],1303,1547
"18_Strohhalm,_Kohle_und_Bohne.txt",[0.7968737483024597],[0.8199082612991333],[0.8082269430160522],471,280
138_Knoist_un_sine_dre_S_hne.txt,[0.8006908893585205],[0.8115834593772888],[0.8061003684997559],134,149
134_Die_sechs_Diener.txt,[0.8263220191001892],[0.8368104696273804],[0.8315331935882568],2026,1994
53_Sneewittchen.txt,[0.8631922006607056],[0.858121931552887],[0.8606495261192322],2654,2859
140_Das_Hausgesinde.txt,[0.0],[0.0],[0.0],0,182
50_Dornr_schen.txt,[0.8558324575424194],[0.8506380915641785],[0.8532273769378662],1242,928
147_Das_junggegl_hte_M_nnlein.txt,[0.8191036581993103],[0.8399644494056702],[0.8294029235839844],585,588
46_Fitchers_Vogel.txt,[0.825663149356842],[0.8285497426986694],[0.8271039128303528],1134,917
128_Die_faule_Spinnerin.txt,[0.8125370740890503],[0.8365831971168518],[0.8243848085403442],603,769
26_Rothk_ppchen.txt,[0.8513950109481812],[0.8574278950691223],[0.8544008135795593],1063,1258
79_Die_Wassernixe.txt,[0.8629422187805176],[0.8500275015830994],[0.8564361333847046],257,293
10_Das_Lumpengesindel.txt,[0.7697592377662659],[0.7982993721961975],[0.7837695479393005],733,1299
99_Der_Geist_im_Glas.txt,[0.8347493410110474],[0.8465389013290405],[0.8406028151512146],1151,1321
148_Des_Herrn_und_des_Teufels_Geth.txt,[0.811460018157959],[0.8345531225204468],[0.8228446245193481],325,369
5_Der_Wolf_und_die_sieben_jungen.txt,[0.7848628759384155],[0.8021944761276245],[0.7934340834617615],868,942
90_Der_junge_Riese.txt,[0.841956615447998],[0.8552870750427246],[0.8485694527626038],2702,3166
38_Die_Hochzeit_der_Frau_F_chsin.txt,[0.8157004117965698],[0.8319135308265686],[0.8237271904945374],498,712
9_Die_zw_lf_Br_der.txt,[0.8143437504768372],[0.8128370046615601],[0.8135896325111389],1661,1380
100_Des_Teufels_ru_iger_Bruder.txt,[0.8514792919158936],[0.8544332981109619],[0.8529537320137024],963,1299
113_De_beiden_K_nigeskinner.txt,[0.7487032413482666],[0.7995161414146423],[0.7732757925987244],3247,3189
22_Das_R_thsel.txt,[0.7976565957069397],[0.8228350281715393],[0.8100501894950867],1091,141
91_Dat_Erdm_nneken.txt,[0.7870604991912842],[0.8002760410308838],[0.7936132550239563],1937,1749
105_M_rchen_von_der_Unke.txt,[0.786578357219696],[0.8096617460250854],[0.797953188419342],489,368
114_Vom_klugen_Schneiderlein.txt,[0.8430688381195068],[0.8382264971733093],[0.840640664100647],953,1229
96_De_drei_V_gelkens.txt,[0.7338802218437195],[0.7813082933425903],[0.7568520307540894],1399,1524
110_Der_Jude_im_Dorn.txt,[0.790968120098114],[0.821132481098175],[0.8057681322097778],1448,1196
111_Der_gelernte_J_ger.txt,[0.8425381779670715],[0.85570228099823],[0.8490692377090454],1937,2131
151_Die_drei_Faulen.txt,[0.8247164487838745],[0.8527666926383972],[0.8385070562362671],1056,217
137_De_drei_schwatten_Princessinne.txt,[0.7468711137771606],[0.7881132960319519],[0.7669382095336914],742,695
11_Br_derchen_und_Schwesterchen.txt,[0.8108293414115906],[0.8104143142700195],[0.8106217384338379],1720,2131
3_Marienkind.txt,[0.8022212982177734],[0.7982696294784546],[0.8002405762672424],1659,2755
126_Ferenand_getr__und_Ferenand_un.txt,[0.740138053894043],[0.7984756827354431],[0.7682009339332581],1746,1939
20_Das_tapfere_Schneiderlein.txt,[0.7769167423248291],[0.8064662218093872],[0.7914157509803772],2828,543
80_Von_dem_Tode_des_H_hnchens.txt,[0.8183943033218384],[0.8206161260604858],[0.8195037245750427],519,664
40_Der_R_uberbr_utigam.txt,[0.822368860244751],[0.8205873966217041],[0.8214771747589111],1189,849
125_Der_Teufel_und_seine_Gro_mutte.txt,[0.8468676805496216],[0.8471757173538208],[0.8470216393470764],954,1128
29_Der_Teufel_mit_den_drei_golden.txt,[0.8045295476913452],[0.8142457604408264],[0.8093584775924683],2085,2019
133_Die_zertanzten_Schuhe.txt,[0.860550045967102],[0.872745156288147],[0.8666046857833862],1263,1463
17_Die_wei_e_Schlange.txt,[0.8279922008514404],[0.8340533375740051],[0.8310117721557617],1470,1020
108_Hans_mein_Jgel.txt,[0.8186709880828857],[0.8481962084770203],[0.833172082901001],1847,2125
117_Das_eigensinnige_Kind.txt,[0.8224338293075562],[0.8395485877990723],[0.8309030532836914],149,136
94_Die_kluge_Bauerntochter.txt,[0.847454845905304],[0.8587659597396851],[0.8530728816986084],1158,1380
12_Rapunzel.txt,[0.7712468504905701],[0.8029406070709229],[0.7867746949195862],1223,916
103_Der_s__e_Brei.txt,[0.8542255163192749],[0.8664156198501587],[0.8602774143218994],197,242
146_Die_R_be.txt,[0.8478158712387085],[0.8446164727210999],[0.8462131023406982],966,1139
28_Der_singende_Knochen.txt,[0.8518519401550293],[0.8501532077789307],[0.8510017395019531],639,550
98_Doctor_Allwissend.txt,[0.8353226184844971],[0.8439813852310181],[0.8396297097206116],661,793
69_Jorinde_und_Joringel.txt,[0.8376091122627258],[0.8578504323959351],[0.8476089239120483],984,1006
93_Die_Rabe.txt,[0.8628378510475159],[0.861884593963623],[0.8623610138893127],1972,2505
120_Die_drei_Handwerksburschen.txt,[0.8229098320007324],[0.8369401693344116],[0.8298656940460205],954,1197
85_Die_Goldkinder.txt,[0.8456082344055176],[0.8521250486373901],[0.848854124546051],1524,1217
76_Die_Nelke.txt,[0.8256077766418457],[0.8256238102912903],[0.8256158232688904],1469,758
