File,Precision,Recall,F1 Score,Translation Length,Reference Length
25_the_seven_ravens.txt,[0.8917789459228516],[0.8949432969093323],[0.8933583498001099],830,944
"18_The_Straw,_the_Coal,_and_the_B.txt",[0.7959979176521301],[0.8122546672821045],[0.8040441870689392],471,2125
69_jorinda_and_joringel.txt,[0.851704478263855],[0.8769295811653137],[0.8641329407691956],984,937
151_The_Three_Sluggards.txt,[0.8639475107192993],[0.8710562586784363],[0.867487370967865],1056,1341
51_Fundevogel_(Bird-foundling).txt,[0.8371278047561646],[0.8629158735275269],[0.8498262166976929],815,956
91_the_gnome.txt,[0.7961767315864563],[0.82135409116745],[0.8085694313049316],1937,1854
56_sweetheart_roland.txt,[0.8946301937103271],[0.8996233940124512],[0.8971198201179504],1277,1479
13_the_three_little_men_in_the_wo.txt,[0.7632828950881958],[0.7606444358825684],[0.7619614005088806],1684,304
38_The_Wedding_of_Mrs._Fox.txt,[0.8232648968696594],[0.8353559970855713],[0.8292664289474487],498,787
39_the_elves.txt,[0.8833485245704651],[0.9002736210823059],[0.891730785369873],1114,1173
99_The_Spirit_in_the_Bottle.txt,[0.8561570644378662],[0.8764201402664185],[0.8661701083183289],1151,1786
57_the_golden_bird.txt,[0.8831109404563904],[0.9038856625556946],[0.8933775424957275],2667,3081
132_the_fox_and_the_horse.txt,[0.8273794054985046],[0.8620069026947021],[0.8443382382392883],362,481
125_the_devil_and_his_grandmother.txt,[0.8713902235031128],[0.8813409805297852],[0.8763373494148254],954,1248
150_the_old_beggar-woman.txt,[0.9101943373680115],[0.8912346363067627],[0.9006147384643555],133,164
2_Cat_and_Mouse_in_Partnership.txt,[0.7843017578125],[0.825291097164154],[0.8042744398117065],772,184
133_The_Shoes_That_Were_Danced_to_.txt,[0.8733364343643188],[0.8913272023200989],[0.8822400569915771],1263,1464
93_the_raven.txt,[0.8860295414924622],[0.8871098160743713],[0.8865693211555481],1972,2261
100_the_devil’s_sooty_brother.txt,[0.8753976821899414],[0.8849366903305054],[0.8801413774490356],963,1263
117_The_Wilful_Child.txt,[0.8362422585487366],[0.8612696528434753],[0.8485714793205261],149,142
87_the_poor_man_and_the_rich_man.txt,[0.8691270351409912],[0.876408576965332],[0.8727526664733887],1375,1729
49_the_six_swans.txt,[0.9005846977233887],[0.9058157801628113],[0.9031926393508911],1759,1987
24_mother_holle.txt,[0.8709747791290283],[0.8801606893539429],[0.8755436539649963],1029,1194
5_the_wolf_and_the_seven_little_.txt,[0.7756232619285583],[0.7888887524604797],[0.7821998000144958],868,3102
48_old_sultan.txt,[0.8669047355651855],[0.8730608820915222],[0.8699718713760376],769,864
154_The_Stolen_Farthings.txt,[0.8817967772483826],[0.8846668004989624],[0.8832294940948486],319,350
3_Our_Lady’s_Child.txt,[0.7933815717697144],[0.7762197852134705],[0.7847068905830383],1659,455
22_The_Riddle.txt,[0.8862460851669312],[0.89943927526474],[0.8927940130233765],1091,1147
124_the_three_brothers.txt,[0.8259479999542236],[0.8569449186325073],[0.8411609530448914],621,659
40_the_robber_bridegroom.txt,[0.8717827796936035],[0.8815209269523621],[0.8766248226165771],1189,1384
20_The_Valiant_Little_Tailor.txt,[0.7675783634185791],[0.8190556764602661],[0.7924819588661194],2828,184
89_the_goose-girl.txt,[0.8682873845100403],[0.8837343454360962],[0.8759427070617676],1731,2212
10_The_Pack_of_Ragamuffins.txt,[0.7735116481781006],[0.8095332980155945],[0.7911126613616943],733,1263
26_little_red-cap.txt,[0.8543370366096497],[0.8623427152633667],[0.8583211302757263],1063,1383
158_The_Story_of_Schlauraffen_Land.txt,[0.8738274574279785],[0.8652915358543396],[0.8695384860038757],287,333
90_the_young_giant.txt,[0.8595993518829346],[0.8790866136550903],[0.8692337274551392],2702,3091
159_The_Ditmarsch_Tale_of_Wonders.txt,[0.9031022787094116],[0.9000788927078247],[0.9015880227088928],194,209
140_domestic_servants.txt,[0.0],[0.0],[0.0],0,147
116_the_blue_light.txt,[0.8651731610298157],[0.8748350739479065],[0.8699772357940674],1430,1750
97_the_water_of_life.txt,[0.8879537582397461],[0.8924635648727417],[0.8902029991149902],1856,2319
9_the_twelve_brothers.txt,[0.8151993155479431],[0.8071112036705017],[0.8111350536346436],1661,1323
"1_the_frog-king,_or_iron_henry.txt",[0.8051252365112305],[0.815531849861145],[0.8102951645851135],1005,1663
50_briar-rose.txt,[0.8996477127075195],[0.901299238204956],[0.9004727602005005],1242,1318
52_king_thrushbeard.txt,[0.8561019897460938],[0.8646297454833984],[0.8603447675704956],1395,1641
148_The_Lord’s_Animals_and_the_Dev.txt,[0.8183199167251587],[0.8462815284729004],[0.8320658802986145],325,365
85_the_gold-children.txt,[0.8657628893852234],[0.8737878203392029],[0.8697568774223328],1524,1928
78_The_Old_Man_and_His_Grandson.txt,[0.8916897773742676],[0.8879298567771912],[0.8898058533668518],227,249
76_The_Pink.txt,[0.891768217086792],[0.896302342414856],[0.8940294981002808],1469,1800
142_simeli_mountain.txt,[0.879185140132904],[0.8968465328216553],[0.8879280090332031],812,851
53_little_snow-white.txt,[0.8713068962097168],[0.869896411895752],[0.8706010580062866],2654,3102
79_the_water-nix.txt,[0.8807311058044434],[0.8764388561248779],[0.8785797357559204],257,301
137_the_three_black_princesses.txt,[0.7532413601875305],[0.7934746146202087],[0.7728347182273865],742,710
45_Thumbling_as_Journeyman.txt,[0.8087267279624939],[0.8534350991249084],[0.8304796814918518],1366,1614
114_The_Cunning_Little_Tailor.txt,[0.8641375303268433],[0.8642223477363586],[0.8641799092292786],953,1216
12_rapunzel.txt,[0.7697734832763672],[0.8079361319541931],[0.7883931994438171],1223,1663
106_The_Poor_Miller’s_Boy_and_the_.txt,[0.8545187711715698],[0.8772081732749939],[0.8657149076461792],1254,1398
139_the_maid_of_brakel.txt,[0.829440712928772],[0.7918192744255066],[0.8101934790611267],94,133
118_the_three_army-surgeons.txt,[0.8772146105766296],[0.8838491439819336],[0.8805193305015564],1034,1087
108_hans_the_hedgehog.txt,[0.8289828896522522],[0.8597972393035889],[0.8441089391708374],1847,2118
80_the_death_of_the_little_hen.txt,[0.8284704685211182],[0.8392902612686157],[0.833845317363739],519,668
147_The_Old_Man_Made_Young_Again.txt,[0.8253851532936096],[0.8521789312362671],[0.8385680317878723],585,543
31_The_Girl_Without_Hands.txt,[0.8596392273902893],[0.8753686547279358],[0.8674326539039612],2037,2332
19_the_fisherman_and_his_wife.txt,[0.7721861600875854],[0.7990891933441162],[0.7854074239730835],3144,1461
112_the_flail_from_heaven.txt,[0.8790850639343262],[0.8742796182632446],[0.8766757249832153],333,396
32_clever_hans.txt,[0.8083837628364563],[0.8302363157272339],[0.8191642761230469],713,893
28_the_singing_bone.txt,[0.8764438033103943],[0.8772929310798645],[0.8768681883811951],639,738
30_the_louse_and_the_flea.txt,[0.7646546363830566],[0.7689970135688782],[0.7668196558952332],509,455
115_the_bright_sun_brings_it_to_li.txt,[0.8419843316078186],[0.8622066974639893],[0.8519755601882935],450,541
44_godfather_death.txt,[0.8304754495620728],[0.8393340110778809],[0.8348812460899353],983,1224
149_the_beam.txt,[0.8879064917564392],[0.8855679631233215],[0.8867356777191162],256,282
42_the_godfather.txt,[0.8641313910484314],[0.8715529441833496],[0.8678262829780579],446,626
102_the_willow-wren_and_the_bear.txt,[0.8420014977455139],[0.874086320400238],[0.8577439785003662],726,913
109_The_Shroud.txt,[0.9151087999343872],[0.9168460369110107],[0.9159765839576721],251,256
141_The_Lambkin_and_the_Little_Fis.txt,[0.835269570350647],[0.8495935797691345],[0.8423707485198975],543,640
120_The_Three_Apprentices.txt,[0.8524444103240967],[0.8771802186965942],[0.8646354079246521],954,1165
"88_the_singing,_springing_lark.txt",[0.8219074010848999],[0.8525177240371704],[0.8369327783584595],1800,2338
103_sweet_porridge.txt,[0.8680681586265564],[0.8906838893890381],[0.8792306184768677],197,245
55_rumpelstiltskin.txt,[0.8577768802642822],[0.8705688714981079],[0.8641255497932434],613,1084
127_the_iron_stove.txt,[0.8669856190681458],[0.8712769746780396],[0.8691259622573853],1858,2201
47_the_juniper-tree.txt,[0.757355809211731],[0.7834747433662415],[0.7701938152313232],2330,3076
29_the_devil_with_the_three_golde.txt,[0.8631734251976013],[0.8831993937492371],[0.8730716109275818],2085,2539
92_the_king_of_the_golden_mountai.txt,[0.8549350500106812],[0.8610145449638367],[0.857964038848877],2123,2429
105_Stories_about_Snakes.txt,[0.8116748929023743],[0.8452499508857727],[0.8281222581863403],489,518
145_the_ungrateful_son.txt,[0.9053088426589966],[0.9139043092727661],[0.9095862507820129],160,168
110_The_Jew_Among_Thorns.txt,[0.8243465423583984],[0.8550896644592285],[0.8394367098808289],1448,1792
96_the_three_little_birds.txt,[0.7158349752426147],[0.7823935151100159],[0.7476357221603394],1399,1440
46_fitcher’s_bird.txt,[0.8747899532318115],[0.8853487968444824],[0.8800377249717712],1134,1404
128_the_lazy_spinner.txt,[0.820148229598999],[0.8482619524002075],[0.8339682221412659],603,767
113_The_Two_Kings’_Children.txt,[0.7542615532875061],[0.8039175868034363],[0.7782983779907227],3247,3418
11_little_brother_and_little_sist.txt,[0.813514769077301],[0.8184178471565247],[0.8159589767456055],1720,2349
